feature,importance
classroom,0.6662619814055956
classroom computer,0.004313826352023079
classroom setting,0.33457612005508713
classroom valuable,0.4189782574084537
classrooms,0.4209304011935284
classwork,0.3107621341902175
clean,-0.08066447099168218
cleaner,0.5967955387499022
cleaning,-0.4448650169773624
clear,0.9312286861178217
clear air,-0.306904973503232
clear winner,0.42599709230545296
clearly,0.22355500050078295
clinton,0.25844045912818764
close,-0.39839026941969535
close attention,0.13577707512496734
close sea,0.2939277583218396
closely,0.7271770643548942
closer,-0.08761240145762242
closer sun,-0.04312374445753656
closest,0.489194683122511
closest distance,0.08012041599700906
closest planet,-0.0774538594004232
clothes,0.5369862030656825
clouds,0.7314998317156564
clouds highly,0.3004150796951418
cloudy,-0.42829589105808824
club,-0.3975225462564619
clubs,-0.5853600373789303
code,0.1091290282176122
coding,0.24097187022928837
coding system,0.8134975650255529
cold,0.35492196719367775
collage,0.18660866329343695
colleague,0.3793415112902799
collect,0.06924681621589024
college,-0.24720366673170996
college abolished,0.04802050390048699
college also,-0.42487946370170465
college avoids,-0.21469837400265285
college best,-0.06688674756627003
college change,0.33857374302070153
college consists,-0.3199638978264919
college electoral,0.04848302670166605
college electors,-0.3350604239287949
college even,0.10176230320585378
college fair,0.11290596752809927
college five,-0.08585891909149827
college good,0.12303193515050603
college invariably,0.20466076509923092
college kept,0.0033472222779495887
college many,0.16797486782722806
college may,0.12854545159212574
college method,0.07451604433807857
college might,0.6338740369595008
college people,0.513411251462368
college popular,0.4114207574969088
college process,0.03384539503692675
college requires,-0.257253785203905
college restores,0.29935860758802535
college stay,0.9832975591044966
college still,-0.5402805259461538
college system,0.35638524927876647
college unfair,0.5622428810628288
college vote,0.2583815341126632
college votes,0.10168288508185024
college voting,0.6077984538037658
college way,0.2167977684491041
college widely,0.02428622450746637
college work,0.7763326114730006
college would,0.4082005976505121
colleges,-0.15083735927769298
colombia,-0.33526002184240855
columbia,0.17899233881039403
columbia allocated,-0.29402530715210307
come,-0.4470681770189716
come back,0.9798458478810539
come school,0.09278429509177455
comes,0.2159970113346999
comfort,-0.5025083570085934
comfort home,0.3059801627337981
comfort zone,0.15176897151208024
comfortable,0.35595053623477046
coming,-0.0759049423615107
coming school,0.32899425118676856
commerce,-0.3666835939743289
commerce aflcio,-0.44221953631917577
common,0.27165978725501866
common around,0.4030400967024592
communicate,0.893659517422215
communicating,0.18076031709490636
communication,0.3300674929462703
communities,0.3750265012909923
community,0.11443187030392517
community service,-0.039072914959658644
community services,-0.046369223308880735
companies,-0.13612726031433375
company,0.3104377717486031
compare,0.3122630154683244
compared,0.2383886222802741
compared percent,-0.31315896763053813
compelling,-1.068827599949209
competing,0.0927848138559681
complain,-0.25814212752643245
complete,-0.5645035617423572
complete assignment,0.365730645703359
complete project,-0.049265170470818645
complete summer,0.10751552762568056
completed,-0.49561118823564365
completely,-0.09011211052489836
completely driverless,0.28888449621435563
completing,0.20337327359999868
completly,0.13247441953322062
complex,-0.7152374409053227
complicate,0.07004985830349711
complicated,0.7058916668090426
comprehend,0.22153025071471796
compromise,-0.21129620370902863
compromise election,0.15761897344672793
computer,0.747260510732592
computer constructs,0.0532460392795832
computer could,-0.07700303083121784
computer knows,0.08310388478630369
computer model,-0.021941948217360223
computer software,0.19561019667786186
computer tell,-0.011499194162289282
computers,-0.14873416760544428
concept,-0.6691923323054236
concepts,0.11122430824780714
concern,0.10831805157156026
concerns,-0.2716147275763469
conclude,0.6427030698427317
conclusion,0.5867960832411485
conclusion electoral,0.09712214848341845
conclusion think,0.12291627262971615
condition,0.39263486538978976
conditions,0.7141122344723095
conditions far,0.6280645044949673
conditions surface,-0.2275957078623632
conditions venus,0.21291586485407457
conduct,-0.3458839008443128
conference,0.07653856660947239
conferences,-0.18125974354542937
conferencing,-0.2743759084632898
confidence,-0.2701885558041474
confident,0.4252298279627066
conflict,-0.004519630359529484
confused,0.9492287152437993
confused bored,0.033746500643713
confused electors,0.42994726245698833
confusing,0.4634600308685517
confusion,-0.6780254246164789
congestion,0.32252841239531627
congress,-0.0723804594492066
congress election,0.1231231831115874
congressional,0.07974335281725752
congressional delegation,0.03722388635043956
connect,-0.8589968331623546
connected,-0.21678167417152966
connection,-0.5285983685856734
connections,-0.6791246207370083
cons,-0.3775158084040004
consequences,-0.43172140458307073
consider,-0.036412366632474324
consider lucky,0.505622171956891
consider state,-0.12033031022798156
consideration,-0.23638945435483438
considered,0.012413750244161297
considering,0.13525533453316282
consist,0.4579161518890885
consists,-0.6330607339671981
consists electors,-0.34007282786468707
consists selection,-0.3870332231794233
conspiracy,0.14804521157123407
conspiracy theorists,-0.24864158065046962
constant,-0.7422352666762749
constantly,0.038197244222367054
constitution,0.5119551296468265
constitution compromise,0.11404665692042254
constitution district,-0.2369117334176181
constructs,0.3635885971215833
constructs computer,0.18274203529647676
consuming,0.15777403724256864
contact,-0.012143915998620462
content,-0.3554525726176961
continue,0.4912949571353925
continue learning,0.3097250763409462
continues,0.07542109882304181
contribute,0.31215346401448224
control,0.7488281516344046
control car,-0.2282565740721009
control electors,-0.10040764215671003
convenient,0.08550656034966089
convey,0.010780747064954419
convince,-0.008129310656151722
convincing,-0.7042882739386787
cool,0.09775948865735451
corner,-0.05195746413531867
correct,-0.1521319276530836
correctly,0.5731044057450665
corrosive,0.2855049276570333
corrosive sulfuric,0.13086099423236455
cost,-0.018229034993348204
costs,-0.10112810489879963
could,0.019309501930553544
could also,0.6991020615070018
could always,0.3768489525568893
could cause,0.24257052212190794
could change,-0.013673866125688229
could easily,0.23168916137932596
could even,0.18980740129327042
could find,-0.1286150039287468
could get,-0.27382733607093296
could give,0.08430701757601572
could go,0.3624863493508968
could good,-0.6945174621224316
could happen,0.1802637943381383
could help,0.8766037652757469
could lead,-0.21643878161897992
could made,-0.24227435834309177
could make,-0.29872863951374296
could modify,-0.022350521329638783
could possibly,-0.06732416113758537
could potentially,-0.31415339609459786
could really,-0.07701139005978191
could recognize,-0.055386746019882326
could say,-0.14203520669895203
could see,0.2603881926066581
could supported,-0.540708380704064
could take,0.5879701691905538
could tell,0.19156504108852712
could use,0.3837689129559216
could used,0.09291091357148122
could work,0.02692174311699552
couldnt,0.395755978179766
couldve,-0.08587678676897777
council,-0.3455411518443417
count,0.4659682256472591
count votes,-0.7466354486612271
counted,0.7151232282639262
counting,-0.5385908802828134
counting electoral,0.21947434087786147
countless,-0.5320214177916744
countries,0.4444373703106989
country,-0.520734765455018
countrys,-0.40809318889640367
counts,0.3767685573427318
county,0.3428587936646941
couple,-0.11699020767944589
course,0.43210098249192175
courses,-0.8290045613406841
court,-0.3639703211068493
cover,-0.39610366121728635
covered,0.298018376549415
covered largely,-0.3507843558629356
cowboy,0.27006372733762957
cowboys,0.3355219004848271
cowboys program,0.11489906671782328
cows,-0.09073184605958037
craft,-0.2082510954382934
crash,0.12398269168300247
crashes,-0.3467404499965759
craters,0.3578214425627445
crazy,-0.02861272725286336
create,0.07239383959294958
create project,0.19687961842973487
create projects,-0.1476245747783766
create summer,-0.5121316190254455
created,0.49896772065210104
created aliens,0.8727245380118671
creates,-0.32414586498442965
creating,-0.26087290986334033
creation,-0.15279209654367376
creative,0.2832946939099228
creativity,-0.28299479475497114
creator,0.04936796964390359
credit,-0.149903226521434
crisis,-0.35260098029538706
crisis century,0.11973269698360894
critical,-0.495134223684824
cross,-0.7751383409505223
crucial,-0.6204939018099987
crush,0.07786042950931266
culture,0.0854931168695307
